Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,PlusGr,Age,Sex,Maturity,IndWgt,CANoAtLngt,DateofCalculation
NS-IBTS,2004,1,1,127140,Microstomus kitt,130,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,150,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,160,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,170,-9,-9,U,-9,,5,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,180,-9,-9,U,-9,,5,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,190,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,200,-9,-9,U,-9,,5,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,210,-9,-9,U,-9,,10,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,220,-9,-9,U,-9,,7,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,230,-9,-9,U,-9,,14,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,240,-9,-9,U,-9,,14,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,250,-9,-9,U,-9,,19,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,260,-9,-9,U,-9,,16,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,270,-9,-9,U,-9,,17,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,280,-9,-9,U,-9,,12,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,290,-9,-9,U,-9,,16,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,300,-9,-9,U,-9,,13,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,310,-9,-9,U,-9,,11,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,320,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,330,-9,-9,U,-9,,6,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,340,-9,-9,U,-9,,6,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,350,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,360,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,370,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,380,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,390,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,400,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,1,127140,Microstomus kitt,430,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,190,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,210,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,220,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,230,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,240,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,250,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,260,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,270,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,280,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,290,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,300,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,310,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,330,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,340,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,350,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,370,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,380,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,7,127140,Microstomus kitt,410,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,200,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,220,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,230,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,240,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,250,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,260,-9,-9,U,-9,,6,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,270,-9,-9,U,-9,,5,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,280,-9,-9,U,-9,,5,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,290,-9,-9,U,-9,,6,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,310,-9,-9,U,-9,,2,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,320,-9,-9,U,-9,,4,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,330,-9,-9,U,-9,,1,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,340,-9,-9,U,-9,,3,20211124
NS-IBTS,2004,1,2,127140,Microstomus kitt,400,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,160,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,190,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,210,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,220,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,230,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,240,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,250,-9,-9,U,-9,,5,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,260,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,270,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,280,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,290,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,340,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,350,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,2,127140,Microstomus kitt,360,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,140,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,150,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,170,-9,-9,U,-9,,1,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,180,-9,-9,U,-9,,3,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,190,-9,-9,U,-9,,2,20211124
NS-IBTS,2005,1,1,127140,Microstomus kitt,200,-9,-9,U,-9,,6,20211124
