Year,AphiaID,Species Latin Name,Area,Country,AMS Catch(TLW),BMS Catch(TLW)
2024,127140,Microstomus kitt,27.3.b.23,SE,0.0158,
2024,127140,Microstomus kitt,27.4.a,SE,1.5594,
2024,127140,Microstomus kitt,27.4.b,SE,2.6151,
2024,127140,Microstomus kitt,27.3.a.20,SE,2.355,0.0085
2024,127140,Microstomus kitt,27.3.a.21,SE,0.3785,
2024,127140,Microstomus kitt,27.4.b,FR,0.064,
2024,127140,Microstomus kitt,27.4.c,FR,1.067,
2024,127140,Microstomus kitt,27.6.a,FR,0.372,
2024,127140,Microstomus kitt,27.6.b.1,FR,0.025,
2024,127140,Microstomus kitt,27.6.b.2,FR,0.005,
2024,127140,Microstomus kitt,27.7.b,FR,24.336,
2024,127140,Microstomus kitt,27.7.c.2,FR,12.808,
2024,127140,Microstomus kitt,27.7.d,FR,6.523,
2024,127140,Microstomus kitt,27.7.e,FR,122.704,
2024,127140,Microstomus kitt,27.7.f,FR,21.946,
2024,127140,Microstomus kitt,27.7.g,FR,29.43,
2024,127140,Microstomus kitt,27.8.a,FR,28.165,
2024,127140,Microstomus kitt,27.8.b,FR,0.029,
2024,127140,Microstomus kitt,27.8.d.2,FR,0.39,
2024,127140,Microstomus kitt,27.7.j.2,FR,42.236,
2024,127140,Microstomus kitt,27.7.k.2,FR,0.473,
2024,127140,Microstomus kitt,27.7.h,FR,100.316,
2024,127140,Microstomus kitt,27.5.b,FR,0.006,
2024,127140,Microstomus kitt,27.6.b,FR,0.755,
2024,127140,Microstomus kitt,27.7.j,FR,3.27,
2024,127140,Microstomus kitt,27.1.b,NO,34.288,
2024,127140,Microstomus kitt,27.2.a.2,NO,28.9746,
2024,127140,Microstomus kitt,27.2.b.2,NO,0.08393,
2024,127140,Microstomus kitt,27.3.a,NO,2.38549,
2024,127140,Microstomus kitt,27.4.a,NO,8.20031,
2024,127140,Microstomus kitt,27.4.b,NO,1.95063,
2024,127140,Microstomus kitt,27.4.a,GB,421.19,
2024,127140,Microstomus kitt,27.4.b,GB,70.45,0.04
2024,127140,Microstomus kitt,27.4.c,GB,4.43,
2024,127140,Microstomus kitt,27.6.a,GB,22.78,
2024,127140,Microstomus kitt,27.7.a,GB,0.32,
2024,127140,Microstomus kitt,27.7.b,GB,2.15,
2024,127140,Microstomus kitt,27.7.d,GB,5.13,
2024,127140,Microstomus kitt,27.7.e,GB,421.66,1.48
2024,127140,Microstomus kitt,27.7.f,GB,80.66,
2024,127140,Microstomus kitt,27.7.g,GB,34.53,
2024,127140,Microstomus kitt,27.7.h,GB,19.37,0.04
2024,127140,Microstomus kitt,27.5.b,GB,15.73,
2024,127140,Microstomus kitt,27.6.b,GB,1.91,
2024,127140,Microstomus kitt,27.7.c,GB,2.57,
2024,127140,Microstomus kitt,27.7.j,GB,19.27,
2024,127140,Microstomus kitt,27.4.a,BE,2.214,0
2024,127140,Microstomus kitt,27.4.b,BE,194.424,0.274
2024,127140,Microstomus kitt,27.4.c,BE,5.626,0
2024,127140,Microstomus kitt,27.7.a,BE,2.706,0.014
2024,127140,Microstomus kitt,27.7.d,BE,20.393,0.011
2024,127140,Microstomus kitt,27.7.e,BE,11.042,0
2024,127140,Microstomus kitt,27.7.f,BE,75.697,0
2024,127140,Microstomus kitt,27.7.g,BE,72.651,0.146
2024,127140,Microstomus kitt,27.7.j.2,BE,0.021,0
2024,127140,Microstomus kitt,27.7.h,BE,4.452,0
2024,127140,Microstomus kitt,27.6.a,IE,8.86958,
2024,127140,Microstomus kitt,27.6.b.1,IE,0.023363,
2024,127140,Microstomus kitt,27.6.b.2,IE,0.764642,
2024,127140,Microstomus kitt,27.7.a,IE,3.29674,
2024,127140,Microstomus kitt,27.7.b,IE,8.92967,
2024,127140,Microstomus kitt,27.7.g,IE,170.606,
2024,127140,Microstomus kitt,27.7.j.2,IE,21.908,
2024,127140,Microstomus kitt,27.7.k.1,IE,0.03045,
2024,127140,Microstomus kitt,27.7.h,IE,1.99401,
2024,127140,Microstomus kitt,27.9.a,ES,0.006,
2024,127140,Microstomus kitt,27.6.b.1,ES,0.576,
2024,127140,Microstomus kitt,27.6.b.2,ES,3.033,
2024,127140,Microstomus kitt,27.7.b,ES,1.405,
2024,127140,Microstomus kitt,27.7.c.2,ES,14.169,
2024,127140,Microstomus kitt,27.7.g,ES,4.074,
2024,127140,Microstomus kitt,27.8.c,ES,0.006,
2024,127140,Microstomus kitt,27.7.j.2,ES,26.845,
2024,127140,Microstomus kitt,27.7.k.2,ES,0.224,
2024,127140,Microstomus kitt,27.7.h,ES,1.552,
2024,127140,Microstomus kitt,27.3.c.22,DK,1.423,
2024,127140,Microstomus kitt,27.3.b.23,DK,0.017,
2024,127140,Microstomus kitt,27.3.a,DK,192.674,0.092
2024,127140,Microstomus kitt,27.4.a,DK,46.839,0.001
2024,127140,Microstomus kitt,27.4.b,DK,75.599,0.001
2024,127140,Microstomus kitt,27.4.c,DK,0.012,
2024,127140,Microstomus kitt,27.3.a,NL,8.712,0.073
2024,127140,Microstomus kitt,27.4.a,NL,20.179,
2024,127140,Microstomus kitt,27.4.b,NL,55.221,0.011
2024,127140,Microstomus kitt,27.4.c,NL,14.739,
2024,127140,Microstomus kitt,27.7.d,NL,2.035,0.007
2024,127140,Microstomus kitt,27.7.e,NL,1.136,
2024,127140,Microstomus kitt,27.5.a,IS,1137.14,
2024,127140,Microstomus kitt,27.2.a.2,FO,0.04,0
2024,127140,Microstomus kitt,27.5.b.1.b,FO,274.65,0
2024,127140,Microstomus kitt,27.3.c.22,DE,0.18,
2024,127140,Microstomus kitt,27.4.a,DE,3.56,
2024,127140,Microstomus kitt,27.4.b,DE,12.53,0
2024,127140,Microstomus kitt,27.4.c,DE,0.45,
2024,127140,Microstomus kitt,27.7.d,DE,0,
2024,127140,Microstomus kitt,27.3.a.20,DE,0.79,
2024,127140,Microstomus kitt,27.3.a.21,DE,0.1,
