Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	2023892	kWd	8985.00	Landings	R-Reported	Imported
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	2023892	kWd	20540.00	Discards	R-Reported	Imported
Belgium	1	Quarter	2024	lem.27.3a47d	27.4.c	OTB_CRU_70-99_0_0_all	57503	kWd	98.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2024	lem.27.3a47d	27.4.c	OTB_CRU_70-99_0_0_all	57503	kWd	21.85	Discards	R-Reported	Raised Discard
Belgium	1	Quarter	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	1105	kWd	21.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	1105	kWd	4.68	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2024	lem.27.3a47d	27.4.c	OTB_DEF_100-119_0_0_all	12000	kWd	21.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2024	lem.27.3a47d	27.4.c	OTB_DEF_100-119_0_0_all	12000	kWd	4.68	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	5589	kWd	111.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	5589	kWd	24.74	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2024	lem.27.3a47d	27.4.c	OTB_CRU_70-99_0_0_all	26520	kWd	5.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2024	lem.27.3a47d	27.4.c	OTB_CRU_70-99_0_0_all	26520	kWd	1.11	Discards	R-Reported	Raised Discard
Belgium	1	Quarter	2024	lem.27.3a47d	27.4.b	TBB_DEF_>=120_0_0_all	49200	kWd	7036.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2024	lem.27.3a47d	27.4.b	TBB_DEF_>=120_0_0_all	49200	kWd	1568.40	Discards	R-Reported	Raised Discard
Belgium	3	Quarter	2024	lem.27.3a47d	27.4.b	OTB_DEF_100-119_0_0_all	177085	kWd	3539.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2024	lem.27.3a47d	27.4.b	OTB_DEF_100-119_0_0_all	177085	kWd	788.88	Discards	R-Reported	Raised Discard
Belgium	3	Quarter	2024	lem.27.3a47d	27.4.b	TBB_DEF_>=120_0_0_all	294000	kWd	95483.00	Landings	R-Reported	Imported
