MeanLength,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023,X2024
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4549,0,0,0,0
20,0,0,0,0,0,0,0,0,0,501,0,0,0,1396,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37730,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
50,0,0,0,0,0,0,0,82598,0,0,0,0,0,0,0,5998,0,269328,0,0,0,0,0
60,0,0,0,0,0,0,0,211175,0,0,65149,90844,0,0,0,39939,0,1369199,0,0,0,0,0
70,0,0,0,0,0,0,0,4437,0,187310,329353,4753,41909,0,0,380969,0,607591,11304,0,0,0,0
80,0,0,0,0,0,0,0,209498,1219695,12979,201899,0,59594,921,22080,385013,1167,68347,0,0,0,4571.37,0
90,114684,0,0,0,0,0,0,147665,0,2420,134240,14208,21105,0,13340,100917,3735,12845,18180,1601.56,25443.46,7236.63,0
100,0,0,0,0,8196,5454,0,17111,712,1825,19486,4358,21105,0,0,6710,7222,1318,26916,10643,536.67,0,0
110,0,8359,0,599,8100,87205,0,1440,1575,122335,5146,19585,43828,24215,5568,5677,14556,29961,5867,87756.25,67439.31,1708.54,0
120,30455,12228,80,0,583,25001,6692,10373,467,1078984,79781,11331282,117255,53858,72820,44381,8349,89205,21537,80555.9,49810.6,14628.9,1597.03
130,65139,14095,17650,599,3093,21200,13817,320,6345,1349137,487895,14213749,345690,293315,151677,66436,25205,103507,141064,204703.7,175899.8,46710.62,1584.89
140,96512,231857,12576,9109,3711,32734,53955,2485,2256,1606247,758334,14440557,850367,874131,138954,208300,22714,212742,203879,357060.53,208425.78,106505.43,25432.18
150,127639,305143,17926,230212,39146,50259,114890,7239,34765,1767264,964830,25684486,1252694,773451,323286,268503,36587,179941,375185,321796.49,253680.56,162217.1,19664.63
160,184689,131217,159778,19776,37350,45893,537579,54658,141671,1353206,1288767,22967457,1073687,1166995,338905,276146,81885,319273,345513,275559.51,325504.63,213814.45,106879.86
170,360661,246652,181781,423689,43899,60927,672746,241910,261017,1381074,1517946,3756262,1069184,1296669,630944,332445,88910,337678,209941,410106.35,242740.32,480278.34,214524.24
180,321877,411965,423871,201238,129383,130718,811793,380200,261611,1337379,2017372,6514678,1266993,1380683,1087732,516490,140950,501308,311624,388835.71,394209.2,861667.89,298741.5
190,535734,790249,410775,323807,318281,224306,706443,515409,206786,1809045,2416094,19306220,1504633,1536220,1293563,620262,250339,664431,400717,593892.93,420255.55,1217601.61,315289.72
